timestamp,ida,vuelta,precio,moneda,fuente
2026-07-24T02:48:03,2026-08-23,2026-08-27,1197,USD,vivo
2026-07-24T02:48:03,2026-08-24,2026-08-28,1197,USD,vivo
2026-07-24T02:48:03,2026-08-25,2026-08-29,1467,USD,vivo
2026-07-24T02:48:03,2026-08-26,2026-08-30,1595,USD,vivo
2026-07-24T02:48:03,2026-08-27,2026-08-31,1727,USD,vivo
2026-07-24T14:06:34,2026-08-23,2026-08-27,1098,USD,vivo
2026-07-24T14:06:34,2026-08-24,2026-08-28,1139,USD,vivo
2026-07-24T14:06:34,2026-08-25,2026-08-29,1467,USD,vivo
2026-07-24T14:06:34,2026-08-26,2026-08-30,1601,USD,vivo
2026-07-24T14:06:34,2026-08-27,2026-08-31,1644,USD,vivo
2026-07-25T00:12:56,2026-08-23,2026-08-27,1098,USD,vivo
2026-07-25T00:12:56,2026-08-24,2026-08-28,1197,USD,vivo
2026-07-25T00:12:56,2026-08-25,2026-08-29,1467,USD,vivo
2026-07-25T00:12:56,2026-08-26,2026-08-30,1511,USD,vivo
2026-07-25T00:12:56,2026-08-27,2026-08-31,1727,USD,vivo
2026-07-25T13:57:33,2026-08-23,2026-08-27,1098,USD,vivo
2026-07-25T13:57:33,2026-08-24,2026-08-28,1098,USD,vivo
2026-07-25T13:57:33,2026-08-25,2026-08-29,1369,USD,vivo
2026-07-25T13:57:33,2026-08-26,2026-08-30,1484,USD,vivo
2026-07-25T13:57:33,2026-08-27,2026-08-31,1556,USD,vivo
